ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
AMT,0.9,0.13333333333333333,0.03773584905660377,0.058823529411764705,640,15,53
WHR,0.8279742765273312,0.1320754716981132,0.10294117647058823,0.11570247933884296,622,53,68
EXPE,0.784375,0.13043478260869565,0.057692307692307696,0.08,640,46,104
FLT,0.8627819548872181,0.125,0.014925373134328358,0.02666666666666667,532,8,67
SEE,0.8703125,0.125,0.046153846153846156,0.06741573033707865,640,24,65
WEC,0.8969404186795491,0.11904761904761904,0.15625,0.13513513513513511,621,42,32
REGN,0.8444055944055944,0.1111111111111111,0.012195121951219513,0.02197802197802198,572,9,82
CTVA,0.8875,0.1111111111111111,0.034482758620689655,0.05263157894736842,640,18,58
CMCSA,0.8701095461658842,0.1111111111111111,0.028985507246376812,0.04597701149425288,639,18,69
TJX,0.88125,0.1111111111111111,0.08333333333333333,0.09523809523809525,640,36,48
HLT,0.8951486697965572,0.10714285714285714,0.06666666666666667,0.0821917808219178,639,28,45
TFC,0.890625,0.10344827586206896,0.06382978723404255,0.07894736842105263,640,29,47
BBY,0.671875,0.10273972602739725,0.1595744680851064,0.12499999999999997,640,146,94
MKC,0.809076682316119,0.10101010101010101,0.23255813953488372,0.1408450704225352,639,99,43
WELL,0.8858520900321544,0.1,0.03636363636363636,0.05333333333333334,622,20,55
TEL,0.903125,0.1,0.07894736842105263,0.08823529411764706,640,30,38
SBAC,0.875,0.1,0.013888888888888888,0.024390243902439022,640,10,72
EVRG,0.859375,0.09615384615384616,0.10416666666666667,0.1,640,52,48
FRT,0.8378870673952641,0.08695652173913043,0.1875,0.1188118811881188,549,69,32
XRAY,0.778125,0.08333333333333333,0.026785714285714284,0.040540540540540536,640,36,112
ED,0.9171875,0.08333333333333333,0.06060606060606061,0.07017543859649122,640,24,33
FBHS,0.846875,0.06896551724137931,0.0273972602739726,0.0392156862745098,640,29,73
PRU,0.903125,0.06666666666666667,0.05555555555555555,0.0606060606060606,640,30,36
TPR,0.81875,0.06666666666666667,0.022222222222222223,0.03333333333333333,640,30,90
PNW,0.9225806451612903,0.06666666666666667,0.02857142857142857,0.04,620,15,35
PAYX,0.9217527386541471,0.06666666666666667,0.02702702702702703,0.038461538461538464,639,15,37
XOM,0.871875,0.06451612903225806,0.03636363636363636,0.046511627906976744,640,31,55
SPG,0.7323943661971831,0.06164383561643835,0.20930232558139536,0.09523809523809523,639,146,43
CPT,0.8921875,0.058823529411764705,0.018518518518518517,0.02816901408450704,640,17,54
ABBV,0.921875,0.05555555555555555,0.029411764705882353,0.03846153846153846,640,18,34
TMO,0.8560250391236307,0.05263157894736842,0.034482758620689655,0.041666666666666664,639,38,58
CME,0.89375,0.04878048780487805,0.06451612903225806,0.05555555555555555,640,41,31
ESS,0.8081180811808119,0.046153846153846156,0.06666666666666667,0.05454545454545454,542,65,45
COST,0.91875,0.045454545454545456,0.03125,0.037037037037037035,640,22,32
ADSK,0.75,0.04,0.0072992700729927005,0.012345679012345678,640,25,137
STX,0.8078125,0.037037037037037035,0.01020408163265306,0.016,640,27,98
ADI,0.821875,0.03125,0.011904761904761904,0.017241379310344827,640,32,84
HWM,0.9328125,0.0,0.0,0.0,640,0,43
TECH,0.7929824561403509,0.0,0.0,0.0,285,0,59
