ticket,accuracy_low_model,accuracy_high_model,precision_low_model,precision_high_model,sample_size,p_success_strategy,num_interesting_bets
EA,0.7230769230769231,0.7461538461538462,0.7323568575233023,0.6111111111111112,780,0.0,0
ATVI,0.9179487179487179,0.9243589743589744,0.9225806451612903,0.0,780,0.0,0
LUMN,0.541025641025641,0.5897435897435898,0.5252225519287834,0.6666666666666666,780,0.38461538461538464,26
T,0.8397435897435898,0.8487179487179487,0.8427835051546392,0.45454545454545453,780,0.14285714285714285,7
TMUS,0.8,0.8102564102564103,0.809775429326288,0.6206896551724138,780,0.5,6
VZ,0.8371794871794872,0.8333333333333334,0.8448500651890483,0.5,780,0.0,0
DISH,0.5358974358974359,0.5602564102564103,0.5279106858054227,0.6666666666666666,780,0.3888888888888889,18
PARA,0.5692307692307692,0.5846153846153846,0.5625990491283677,0.6408450704225352,780,0.0,0
LYV,0.6397435897435897,0.6641025641025641,0.6316507503410641,0.7428571428571429,780,0.5,2
WBD,0.5371794871794872,0.4756410256410256,0.0,0.4756410256410256,780,0.0,0
NFLX,0.5553997194950911,0.6086956521739131,0.5457227138643068,0.5405405405405406,713,1.0,2
CHTR,0.6487179487179487,0.6551282051282051,0.6552197802197802,0.5833333333333334,780,0.5,8
DIS,0.708974358974359,0.7166666666666667,0.7308228730822873,0.4230769230769231,780,0.0,0
CMCSA,0.6653846153846154,0.7217948717948718,0.6679738562091503,0.6086956521739131,780,0.25,8
MTCH,0.5205128205128206,0.5217948717948718,0.4792332268370607,0.6690140845070423,780,0.0,0
TWTR,0.9733333333333334,0.9866666666666667,1.0,0.0,75,0.0,0
META,0.5384615384615384,0.49230769230769234,0.6590909090909091,0.4786729857819905,780,0.0,0
GOOG,0.7051282051282052,0.7012820512820512,0.7336244541484717,0.42105263157894735,780,0.0,2
AIZ,0.6666666666666666,0.6833333333333333,0.6711229946524064,0.4827586206896552,780,0.0,1
RE,0.7238219895287958,0.7303664921465969,0.7336956521739131,0.5666666666666667,764,0.4444444444444444,9
LNC,0.6551282051282051,0.6666666666666666,0.6476608187134503,0.6410256410256411,780,0.21428571428571427,14
GL,0.8213367609254498,0.8534704370179949,0.8255813953488372,0.75,778,0.5,4
AFL,0.8538461538461538,0.841025641025641,0.8569570871261378,0.5,780,1.0,1
PRU,0.8115384615384615,0.7974358974358975,0.8149606299212598,0.46875,780,0.21428571428571427,14
MET,0.8391248391248392,0.8378378378378378,0.8411458333333334,0.36363636363636365,777,0.3076923076923077,13
BRO,0.8051282051282052,0.7948717948717948,0.8046571798188874,0.5714285714285714,780,0.0,0
WTW,0.8260309278350515,0.8118556701030928,0.8270481144343304,0.5454545454545454,776,0.5,4
AJG,0.8110539845758354,0.800771208226221,0.8155844155844156,0.2,778,0.0,0
