ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
AMGN,0.9311424100156495,0.3333333333333333,0.2222222222222222,0.26666666666666666,639,24,36
D,0.8734375,0.3333333333333333,0.02531645569620253,0.04705882352941176,640,6,79
MKTX,0.7087087087087087,0.3333333333333333,0.010416666666666666,0.0202020202020202,333,3,96
EMR,0.8984375,0.3333333333333333,0.18181818181818182,0.23529411764705885,640,30,55
BAC,0.9140625,0.3333333333333333,0.03773584905660377,0.06779661016949153,640,6,53
TXN,0.838810641627543,0.3333333333333333,0.019801980198019802,0.037383177570093455,639,6,101
FRT,0.9197080291970803,0.3333333333333333,0.023255813953488372,0.04347826086956522,548,3,43
MNST,0.9047619047619048,0.3333333333333333,0.017543859649122806,0.03333333333333333,609,3,57
DLR,0.853125,0.3333333333333333,0.10588235294117647,0.16071428571428573,640,27,85
TRMB,0.837245696400626,0.3333333333333333,0.0297029702970297,0.05454545454545454,639,9,101
CCL,0.621875,0.32142857142857145,0.234375,0.27108433734939763,640,140,192
CF,0.6823161189358372,0.32038834951456313,0.19879518072289157,0.24535315985130116,639,103,166
MOS,0.6859375,0.3191489361702128,0.08152173913043478,0.12987012987012986,640,47,184
DD,0.8875,0.3125,0.07575757575757576,0.12195121951219512,640,16,66
ULTA,0.8432601880877743,0.3125,0.11363636363636363,0.16666666666666666,638,32,88
DVN,0.7109375,0.3114754098360656,0.11728395061728394,0.1704035874439462,640,61,162
ILMN,0.7387096774193549,0.3088235294117647,0.15441176470588236,0.20588235294117646,620,68,136
ORCL,0.915625,0.3076923076923077,0.08163265306122448,0.12903225806451613,640,13,49
NWS,0.8625,0.3076923076923077,0.10256410256410256,0.15384615384615385,640,26,78
PWR,0.832258064516129,0.3076923076923077,0.0851063829787234,0.13333333333333333,620,26,94
IQV,0.785472972972973,0.3076923076923077,0.03278688524590164,0.05925925925925927,592,13,122
MDT,0.7453125,0.3026315789473684,0.17293233082706766,0.22009569377990432,640,76,133
MGM,0.796875,0.3013698630136986,0.21782178217821782,0.2528735632183908,640,73,101
K,0.934375,0.3,0.07894736842105263,0.125,640,10,38
MSFT,0.8671875,0.2916666666666667,0.09333333333333334,0.1414141414141414,640,24,75
PSX,0.81875,0.28888888888888886,0.13402061855670103,0.18309859154929578,640,45,97
EMN,0.8184663536776213,0.2857142857142857,0.056074766355140186,0.09374999999999999,639,21,107
INTC,0.834375,0.2857142857142857,0.019417475728155338,0.03636363636363636,640,7,103
APA,0.678125,0.2857142857142857,0.1411764705882353,0.1889763779527559,640,84,170
SYF,0.8109375,0.2833333333333333,0.17894736842105263,0.21935483870967742,640,60,95
BRO,0.8609375,0.28205128205128205,0.1527777777777778,0.1981981981981982,640,39,72
PPL,0.9061032863849765,0.28125,0.1956521739130435,0.23076923076923078,639,32,46
HCA,0.8390625,0.28125,0.10112359550561797,0.1487603305785124,640,32,89
CNP,0.88125,0.275,0.1896551724137931,0.22448979591836735,640,40,58
ECL,0.8765625,0.2727272727272727,0.140625,0.18556701030927833,640,33,64
FIS,0.6984375,0.2716049382716049,0.14102564102564102,0.18565400843881857,640,81,156
EBAY,0.85,0.2702702702702703,0.12658227848101267,0.1724137931034483,640,37,79
ROL,0.8857589984350548,0.26666666666666666,0.06060606060606061,0.09876543209876543,639,15,66
HSY,0.9080645161290323,0.26666666666666666,0.18604651162790697,0.2191780821917808,620,30,43
OXY,0.76875,0.2608695652173913,0.043795620437956206,0.075,640,23,137
INCY,0.8776859504132232,0.2608695652173913,0.23076923076923078,0.24489795918367346,605,46,52
PAYC,0.6447688564476886,0.25663716814159293,0.31868131868131866,0.2843137254901961,411,113,91
LRCX,0.74375,0.2545454545454545,0.10218978102189781,0.14583333333333331,640,55,137
RCL,0.575,0.25365853658536586,0.30409356725146197,0.276595744680851,640,205,171
VICI,0.8796875,0.25,0.013333333333333334,0.025316455696202535,640,4,75
PFG,0.8875,0.25,0.0625,0.1,640,16,64
AMZN,0.771875,0.25,0.09836065573770492,0.1411764705882353,640,48,122
CTRA,0.7636932707355243,0.25,0.08527131782945736,0.12716763005780346,639,44,129
BA,0.7625,0.25,0.2169811320754717,0.23232323232323232,640,92,106
MRK,0.9453125,0.25,0.030303030303030304,0.054054054054054064,640,4,33
ZION,0.8215962441314554,0.23684210526315788,0.09574468085106383,0.13636363636363635,639,38,94
